return me the homepage of PVLDB.	SELECT homepage FROM journal WHERE name = 'PVLDB'
return me the area of PVLDB.    SELECT d.name FROM domain d, domain_journal dj, journal j WHERE d.did = dj.did AND dj.jid = j.jid AND j.name = 'PVLDB'
return me the authors who have papers in PVLDB.	SELECT a.name FROM author a, publication p, journal j, writes w WHERE j.name = 'PVLDB' AND a.aid = w.aid AND w.pid = p.pid AND p.jid = j.jid
return me the organization H. V. Jagadish is in.	SELECT o.name FROM organization o, author a WHERE a.name = 'H. V. Jagadish' AND o.oid = a.oid
return me the homepage of H. V. Jagadish.	SELECT homepage FROM author WHERE name = 'H. V. Jagadish'
return me the conferences, which have papers by H. V. Jagadish.	SELECT c.name FROM conference c, publication p, author a, writes w WHERE c.cid = p.cid AND p.pid = w.pid AND w.aid = a.aid AND a.name = 'H. V. Jagadish.'
return me the journals, which have papers by H. V. Jagadish.	SELECT j.name FROM journal j, publication p, author a, writes w WHERE j.jid = p.jid AND p.pid = w.pid AND w.aid = a.aid AND a.name = 'H. V. Jagadish.'
return me the domain where H. V. Jagadish is focus.	SELECT d.name FROM domain d, author a, domain_author da WHERE d.did = da.did AND da.aid = a.aid AND a.name = 'H. V. Jagadish'
return me the papers written by H. V. Jagadish and Divesh Srivastava.   SELECT p1.title FROM author a1, author a2, publication p1, publication p2, writes w1, writes w2 WHERE a1.aid = w1.aid AND a2.aid = w2.aid AND w1.pid = p1.pid AND w2.pid = p2.pid AND p1.pid = p2.pid AND a1.name='H. V. Jagadish' AND a2.name = 'Divesh Srivastava'
return me the papers written by H. V. Jagadish and Yunyao Li after 2005.	SELECT p1.title FROM author a1, author a2, publication p1, publication p2, writes w1, writes w2 WHERE a1.aid = w1.aid AND a2.aid = w2.aid AND w1.pid = p1.pid AND w2.pid = p2.pid AND p1.pid = p2.pid AND a1.name='H. V. Jagadish' AND a2.name = 'Yunyao Li' AND p1.year > 2005
return me the papers written by H. V. Jagadish and Yunyao Li on PVLDB.	SELECT p1.title FROM author a1, author a2, publication p1, publication p2, writes w1, writes w2, journal j WHERE a1.aid = w1.aid AND a2.aid = w2.aid AND w1.pid = p1.pid AND w2.pid = p2.pid AND p1.pid = p2.pid AND a1.name='H. V. Jagadish' AND a2.name = 'Yunyao Li' AND p1.jid = j.jid AND j.name='PVLDB'
