where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

how many states does the river0 run through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;

what state has the shortest river ? ||| select distinct river.traverse from river where river.length = ( select min ( distinct river.length ) from river ) ;

what is the largest state that borders state0 ? ||| select state.state_name from border_info , state where state.state_name = border_info.border and border_info.state_name = ' state0 ' and state.area = ( select max ( state.area ) from border_info , state where state.state_name = border_info.border and border_info.state_name = ' state0 ' ) ;

what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;

what is the state that contains the highest point ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what state is city0 the capital of ? ||| select state.state_name from state where state.capital = ' city0 ' ;

what is the largest state in the us ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is the longest river in the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what is the population of the major cities in state0 ? ||| select city.population from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the population density of the state with the smallest area ? ||| select state.density from state where state.area = ( select min ( state.area ) from state ) ;

through which states does the river0 flow ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the state with the lowest point ? ||| select highlow.state_name from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the city in state0 with the largest population ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

give me the cities which are in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' ;

city0 is the capital of which state ? ||| select state.state_name from state where state.capital = ' city0 ' ;

what is the area of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

name the rivers in state0 . ||| select river.river_name from river where river.traverse = ' state0 ' ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

which state border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

how many people live in city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;

what states border states that border state0 ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

what is the length of the river that traverses the most states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;

what is the biggest state in continental us ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what is the height of mountain0 ? ||| select mountain.mountain_altitude from mountain where mountain.mountain_name = ' mountain0 ' ;

what is the capital of the state state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

how many rivers are found in state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the biggest city in the smallest state ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

how many states does the river0 flow through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what are the neighboring states for state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what cities in state0 have the highest number of citizens ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the capital of the state with the highest elevation ? ||| select state.capital from state , highlow where state.state_name = highlow.state_name and highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the population density of the smallest state ? ||| select state.density from state where state.area = ( select min ( state.area ) from state ) ;

what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

how many states does the river0 run through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;

how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;

what is the highest point in the us ? ||| select distinct highlow.highest_point from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

how many citizens live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the largest city in a state that borders state0 ? ||| select city.city_name from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and city.population = ( select max ( city.population ) from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

how many people live in the state with the largest population density ? ||| select state.population from state where state.density = ( select max ( state.density ) from state ) ;

which state has the river0 ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what are the capital cities of the states which border state0 ? ||| select state.capital from state , border_info where border_info.border = state.state_name and border_info.state_name = ' state0 ' ;

what is the longest river that passes the states that border the state that borders the most states ? ||| select river.river_name from river , border_info where river.traverse = border_info.state_name and border_info.border = ( select border from border_info group by state_name order by count ( distinct border_info.border ) desc limit 1 ) order by river.length desc limit 1 ;

what capital has the largest population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

what is the largest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is the highest point in the state with the most rivers ? ||| select highlow.highest_point from highlow where ( highlow.state_name = ( select river.traverse from river , state where river.traverse = state.state_name group by state_name order by count ( river.river_name ) desc limit 1 ) ) ;

what is the population density of the state with the smallest population ? ||| select state.density from state where state.population = ( select min ( state.population ) from state ) ;

what is the size of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what is the shortest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select min ( river.length ) from river where river.traverse = ' state0 ' ) ;

what states does the river0 go through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what state has the least population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the longest river in the state with the highest point ? ||| select river.river_name from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) ) ;

what is the length of the longest river in the usa ? ||| select river.length from river where river.length = ( select max ( river.length ) from river ) ;

what is the highest mountain in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

list the states ? ||| select state.state_name from state ;

what is the smallest city in the largest state ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what are the major cities in the states through which the major river in state0 runs ? ||| select city.city_name from city where city.population > number0 and city.state_name in ( select river.traverse from river where river.traverse = ' state0 ' and river.length > number1 ) ;

what are the populations of states through which the river0 runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;

how many states are there in united states ? ||| select count ( state.state_name ) from state ;

what is the population of the capital of the smallest state ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.area = ( select min ( state.area ) from state ) ) ;

what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

how many inhabitants does city0 have ? ||| select city.population from city where city.city_name = ' city0 ' ;

how big is the city of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the size of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what is the highest point in each state whose lowest point is sea level ? ||| select highlow.highest_point , highlow.state_name from highlow where highlow.lowest_elevation = number0 ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what state has the city with the most population ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the shortest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select min ( river.length ) from river where river.traverse = ' state0 ' ) ;

how high is high_point0 ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' high_point0 ' ;

what is the river that cross over state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the longest river in the state with the highest point ? ||| select river.river_name from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) ) ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what river runs through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the area of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;

what is the highest point in the state with the smallest population ? ||| select highlow.highest_point from highlow , state where highlow.state_name = state.state_name and state.state_name in ( select state.state_name from state where state.population = ( select min ( state.population ) from state ) ) ;

what is the name of the state with the lowest point ? ||| select highlow.state_name from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the most populous city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the capital of the state0 state ? ||| select state.capital from state where state.state_name = ' state0 ' ;

how many cities named city0 are there in the usa ? ||| select count ( city.city_name ) from city where city.city_name = ' city0 ' ;

what state borders the state with the smallest population ? ||| select border_info.border from border_info where border_info.state_name in ( select state.state_name from state where state.population = ( select min ( state.population ) from state ) ) ;

what is the population of the state with the largest area ? ||| select state.population from state where state.area = ( select max ( state.area ) from state ) ;

how many rivers are in state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

what is the highest point in the country ? ||| select distinct highlow.highest_point from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what are the major cities of the united states ? ||| select city.city_name from city where city.population > number0 ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the highest point in the state with capital city0 ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' city0 ' ) ;

give me all the states of usa ? ||| select state.state_name from state ;

how many states have cities named city0 ? ||| select count ( city.state_name ) from city where city.city_name = ' city0 ' ;

what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what state is the biggest ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

which state has the greatest density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what are the highest points of states surrounding state0 ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

what states border states that border states that border state0 ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what is the combined population of all number0 states ? ||| select sum ( state.population ) from state ;

what is the highest elevation in state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;

what are the major cities in the smallest state in the us ? ||| select city.city_name from city where city.population > number0 and city.state_name = ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

what states does the river0 run through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what can you tell me about the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

how many major cities are in states bordering state0 ? ||| select count ( city.city_name ) from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and city.population > number0 ;

what are the populations of all the major cities in state0 ? ||| select city.population from city where city.state_name = ' state0 ' and city.population > number0 ;

where is mountain0 located ? ||| select mountain.state_name from mountain where mountain.mountain_name = ' mountain0 ' ;

what is the total population of the states that border state0 ? ||| select sum ( state.population ) from state , border_info where state.state_name = border_info.border and border_info.state_name = ' state0 ' ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the area of the state with the smallest population density ? ||| select state.area from state where state.density = ( select min ( state.density ) from state ) ;

what cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' ;

