where is san jose ? ||| select city.state_name from city where city.city_name = ' san jose ' ;

how many states does the missouri river run through ? ||| select count ( river.traverse ) from river where river.river_name = ' missouri ' ;

what state has the shortest river ? ||| select distinct river.traverse from river where river.length = ( select min ( distinct river.length ) from river ) ;

what is the largest state that borders california ? ||| select state.state_name from border_info , state where state.state_name = border_info.border and border_info.state_name = ' california ' and state.area = ( select max ( state.area ) from border_info , state where state.state_name = border_info.border and border_info.state_name = ' california ' ) ;

what is the lowest point in texas ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' texas ' ;

what is the state that contains the highest point ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what state is austin the capital of ? ||| select state.state_name from state where state.capital = ' austin ' ;

what is the largest state in the us ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is the longest river in the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what is the population of the major cities in wisconsin ? ||| select city.population from city where city.state_name = ' wisconsin ' and city.population > 150000 ;

what is the population density of the state with the smallest area ? ||| select state.density from state where state.area = ( select min ( state.area ) from state ) ;

through which states does the mississippi flow ? ||| select river.traverse from river where river.river_name = ' mississippi ' ;

what states border arkansas ? ||| select border_info.border from border_info where border_info.state_name = ' arkansas ' ;

what is the state with the lowest point ? ||| select highlow.state_name from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the city in texas with the largest population ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;

what is the highest point in new mexico ? ||| select highlow.highest_point from highlow where highlow.state_name = ' new mexico ' ;

give me the cities which are in texas ? ||| select city.city_name from city where city.state_name = ' texas ' ;

sacramento is the capital of which state ? ||| select state.state_name from state where state.capital = ' sacramento ' ;

what is the area of california ? ||| select state.area from state where state.state_name = ' california ' ;

name the rivers in arkansas . ||| select river.river_name from river where river.traverse = ' arkansas ' ;

what are the major cities in kansas ? ||| select city.city_name from city where city.state_name = ' kansas ' and city.population > 150000 ;

which state border kentucky ? ||| select border_info.border from border_info where border_info.state_name = ' kentucky ' ;

how many people live in austin texas ? ||| select city.population from city where city.city_name = ' austin ' and city.state_name = ' texas ' ;

what states border states that border colorado ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' colorado ' ) ;

what is the length of the river that traverses the most states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;

what is the biggest state in continental us ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

where is springfield ? ||| select city.state_name from city where city.city_name = ' springfield ' ;

what is the height of mount mckinley ? ||| select mountain.mountain_altitude from mountain where mountain.mountain_name = ' mckinley ' ;

what is the capital of the state texas ? ||| select state.capital from state where state.state_name = ' texas ' ;

how many rivers are found in colorado ? ||| select count ( river.river_name ) from river where river.traverse = ' colorado ' ;

what are the major cities in ohio ? ||| select city.city_name from city where city.state_name = ' ohio ' and city.population > 150000 ;

what is the biggest city in the smallest state ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

how many states does the colorado river flow through ? ||| select count ( river.traverse ) from river where river.river_name = ' colorado ' ;

what are the major cities in oklahoma ? ||| select city.city_name from city where city.state_name = ' oklahoma ' and city.population > 150000 ;

what are the neighboring states for michigan ? ||| select border_info.border from border_info where border_info.state_name = ' michigan ' ;

what cities in texas have the highest number of citizens ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;

what is the capital of the state with the highest elevation ? ||| select state.capital from state , highlow where state.state_name = highlow.state_name and highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the population density of the smallest state ? ||| select state.density from state where state.area = ( select min ( state.area ) from state ) ;

what is the biggest city in wyoming ? ||| select city.city_name from city where city.state_name = ' wyoming ' and city.population = ( select max ( city.population ) from city where city.state_name = ' wyoming ' ) ;

how many states does the colorado river run through ? ||| select count ( river.traverse ) from river where river.river_name = ' colorado ' ;

how long is the mississippi ? ||| select river.length from river where river.river_name = ' mississippi ' ;

what is the highest point in the us ? ||| select distinct highlow.highest_point from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

how many citizens live in california ? ||| select state.population from state where state.state_name = ' california ' ;

what is the largest city in a state that borders texas ? ||| select city.city_name from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) and city.population = ( select max ( city.population ) from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ) ;

how many people live in the state with the largest population density ? ||| select state.population from state where state.density = ( select max ( state.density ) from state ) ;

which state has the red river ? ||| select river.traverse from river where river.river_name = ' red ' ;

what are the capital cities of the states which border texas ? ||| select state.capital from state , border_info where border_info.border = state.state_name and border_info.state_name = ' texas ' ;

what is the longest river that passes the states that border the state that borders the most states ? ||| select river.river_name from river , border_info where river.traverse = border_info.state_name and border_info.border = ( select border from border_info group by state_name order by count ( distinct border_info.border ) desc limit 1 ) order by river.length desc limit 1 ;

what capital has the largest population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

what is the largest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

what is the highest point in the state with the most rivers ? ||| select highlow.highest_point from highlow where ( highlow.state_name = ( select river.traverse from river , state where river.traverse = state.state_name group by state_name order by count ( river.river_name ) desc limit 1 ) ) ;

what is the population density of the state with the smallest population ? ||| select state.density from state where state.population = ( select min ( state.population ) from state ) ;

what is the size of texas ? ||| select state.area from state where state.state_name = ' texas ' ;

what is the shortest river in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length = ( select min ( river.length ) from river where river.traverse = ' texas ' ) ;

what states does the ohio river go through ? ||| select river.traverse from river where river.river_name = ' ohio ' ;

what is the biggest city in oregon ? ||| select city.city_name from city where city.state_name = ' oregon ' and city.population = ( select max ( city.population ) from city where city.state_name = ' oregon ' ) ;

what state has the least population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

what is the population of minnesota ? ||| select state.population from state where state.state_name = ' minnesota ' ;

what is the largest city in michigan ? ||| select city.city_name from city where city.state_name = ' michigan ' and city.population = ( select max ( city.population ) from city where city.state_name = ' michigan ' ) ;

what is the longest river in the state with the highest point ? ||| select river.river_name from river , highlow where river.traverse = highlow.state_name and highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) order by river.length desc limit 1 ;

what is the length of the longest river in the usa ? ||| select river.length from river where river.length = ( select max ( river.length ) from river ) ;

what is the highest mountain in texas ? ||| select highlow.highest_point from highlow where highlow.state_name = ' texas ' ;

list the states ? ||| select state.state_name from state ;

what is the smallest city in the largest state ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what are the major cities in the states through which the major river in virginia runs ? ||| select city.city_name from city where city.population > 150000 and city.state_name in ( select river.traverse from river where river.traverse = ' virginia ' and river.length > 750 ) ;

