what are the major rivers in the us ? ||| select river.river_name from river ;

what is the biggest city in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;
what is the biggest city in nebraska ? ||| select city.city_name from city where city.state_name = ' nebraska ' and city.population = ( select max ( city.population ) from city where city.state_name = ' nebraska ' ) ;
what is the biggest city in louisiana ? ||| select city.city_name from city where city.state_name = ' louisiana ' and city.population = ( select max ( city.population ) from city where city.state_name = ' louisiana ' ) ;
what cities in texas have highest populations ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;
what cities in texas have the highest number of citizens ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;
what is the largest city in wisconsin ? ||| select city.city_name from city where city.state_name = ' wisconsin ' and city.population = ( select max ( city.population ) from city where city.state_name = ' wisconsin ' ) ;
which city in california has the largest population ? ||| select city.city_name from city where city.state_name = ' california ' and city.population = ( select max ( city.population ) from city where city.state_name = ' california ' ) ;
what is the most populous city in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;
what is the most populous city in wyoming ? ||| select city.city_name from city where city.state_name = ' wyoming ' and city.population = ( select max ( city.population ) from city where city.state_name = ' wyoming ' ) ;
what is the city in texas with the largest population ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;
what is the biggest city in wyoming ? ||| select city.city_name from city where city.state_name = ' wyoming ' and city.population = ( select max ( city.population ) from city where city.state_name = ' wyoming ' ) ;
what is the biggest city in kansas ? ||| select city.city_name from city where city.state_name = ' kansas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' kansas ' ) ;
what is the biggest city in oregon ? ||| select city.city_name from city where city.state_name = ' oregon ' and city.population = ( select max ( city.population ) from city where city.state_name = ' oregon ' ) ;
what is the biggest city in georgia ? ||| select city.city_name from city where city.state_name = ' georgia ' and city.population = ( select max ( city.population ) from city where city.state_name = ' georgia ' ) ;
what is the largest city in rhode island ? ||| select city.city_name from city where city.state_name = ' rhode island ' and city.population = ( select max ( city.population ) from city where city.state_name = ' rhode island ' ) ;
what is the biggest city in arizona ? ||| select city.city_name from city where city.state_name = ' arizona ' and city.population = ( select max ( city.population ) from city where city.state_name = ' arizona ' ) ;
what is the largest city in minnesota ? ||| select city.city_name from city where city.state_name = ' minnesota ' and city.population = ( select max ( city.population ) from city where city.state_name = ' minnesota ' ) ;
