Query ID,Phrase,Operator,Fragment Type,Functions,Group By,Answer
1,homepage,,attr,,,journal.homepage
1,PVLDB,,pred,,,journal.name = 'PVLDB'
2,homepage,,attr,,,author.homepage
2,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
3,abstract,,attr,,,publication.abstract
3,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
4,year,,attr,,,publication.year
4,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
5,papers,,attr,,,publication.title
5,2000,>,pred,,,publication.year > 2000
6,homepage,,attr,,,conference.homepage
6,VLDB conference,,pred,,,conference.name = 'VLDB'
7,keywords,,attr,,,keyword.keyword
8,organizations,,attr,,,organization.name
9,organizations,,attr,,,organization.name
9,North America,,pred,,,organization.continent = 'North America'
10,homepage,,attr,,,organization.homepage
10,University of Michigan,,pred,,,organization.name = 'University of Michigan'
11,references,,attr,,,publication.reference_num
11,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
12,citations,,attr,,,publication.citation_num
12,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
13,year,,attr,,,publication.year
13,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
14,paper,,attr,,,publication.title
14,200 citations,>,pred,,,publication.citation_num > 200
15,authors,,attr,,,author.name
15,papers,,rel,,,publication
15,PVLDB,,pred,,,journal.name = 'PVLDB'
15,2010,,pred,,,publication.year = 2010
16,authors,,attr,,,author.name
16,papers,,rel,,,publication
16,PVLDB,,pred,,,journal.name = 'PVLDB'
16,2010,>,pred,,,publication.year > 2010
17,authors,,attr,,,author.name
17,papers,,rel,,,publication
17,VLDB conference,,pred,,,conference.name = 'VLDB'
17,2002,,pred,,,publication.year = 2002
18,authors,,attr,,,author.name
18,papers,,rel,,,publication
18,VLDB conference,,pred,,,conference.name = 'VLDB'
18,2002,<,pred,,,publication.year < 2002
19,authors,,attr,,,author.name
19,papers,,rel,,,publication
19,VLDB conference,,pred,,,conference.name = 'VLDB'
19,2002,<,pred,,,publication.year < 2002
19,1995,>,pred,,,publication.year > 1995
20,authors,,attr,,,author.name
20,papers,,rel,,,publication
20,VLDB conference,,pred,,,conference.name = 'VLDB'
20,2002,>,pred,,,publication.year > 2002
20,1995,<,pred,,,publication.year < 1995
21,area,,attr,,,domain.name
21,PVLDB,,pred,,,journal.name = 'PVLDB'
22,authors,,attr,,,author.name
22,papers,,rel,,,publication
22,PVLDB,,pred,,,journal.name = 'PVLDB'
23,organization,,attr,,,organization.name
23,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
24,conferences,,attr,,,conference.name
24,papers,,rel,,,publication
24,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
25,journals,,attr,,,journal.name
25,papers,,rel,,,publication
25,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
26,domain,,attr,,,domain.name
26,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
27,authors,,attr,,,author.name
27,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
28,conference,,attr,,,conference.name
28,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
29,references,,attr,,,publication.reference_num
29,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
30,citations,,attr,,,publication.citation_num
30,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
31,papers,,attr,,,publication.title
31,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
32,papers,,attr,,,publication.title
32,VLDB conference,,pred,,,conference.name = 'VLDB'
33,papers,,attr,,,publication.title
33,PVLDB,,pred,,,journal.name = 'PVLDB'
34,papers,,attr,,,publication.title
34,PVLDB,,pred,,,journal.name = 'PVLDB'
34,2000,>,pred,,,publication.year > 2000
35,papers,,attr,,,publication.title
35,VLDB conference,,pred,,,conference.name = 'VLDB'
35,2000,>,pred,,,publication.year > 2000
36,papers,,attr,,,publication.title
36,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
36,PVLDB,,pred,,,journal.name = 'PVLDB'
37,papers,,attr,,,publication.title
37,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
37,VLDB conference,,pred,,,conference.name = 'VLDB'
38,papers,,attr,,,publication.title
38,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
38,2000,>,pred,,,publication.year > 2000
39,papers,,attr,,,publication.title
39,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
39,PVLDB,,pred,,,journal.name = 'PVLDB'
39,2000,>,pred,,,publication.year > 2000
40,papers,,attr,,,publication.title
40,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
40,VLDB conference,,pred,,,conference.name = 'VLDB'
40,2000,>,pred,,,publication.year > 2000
41,area,,attr,,,domain.name
41,VLDB conference,,pred,,,conference.name = 'VLDB'
42,authors,,attr,,,author.name
42,papers,,rel,,,publication
42,VLDB conference,,pred,,,conference.name = 'VLDB'
43,keywords,,attr,,,keyword.keyword
43,Databases area,,pred,,,domain.name = 'Databases'
44,papers,,attr,,,publication.title
44,keyword Natural Language,,pred,,,keyword.keyword = 'Natural Language'
45,keywords,,attr,,,keyword.keyword
45,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
46,keywords,,attr,,,keyword.keyword
46,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
47,keywords,,attr,,,keyword.keyword
47,VLDB conference,,pred,,,conference.name = 'VLDB'
48,keywords,,attr,,,keyword.keyword
48,PVLDB,,pred,,,journal.name = 'PVLDB'
49,keywords,,attr,,,keyword.keyword
49,papers,,rel,,,publication
49,University of Michigan,,pred,,,organization.name = 'University of Michigan'
50,papers,,attr,,,publication.title
50,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
50,keyword User Study,,pred,,,keyword.keyword = 'User Study'
51,papers,,attr,,,publication.title
51,PVLDB,,pred,,,journal.name = 'PVLDB'
51,keyword Keyword search,,pred,,,keyword.keyword = 'Keyword search'
52,papers,,attr,,,publication.title
52,VLDB conference,,pred,,,conference.name = 'VLDB'
52,keyword Information Retrieval,,pred,,,keyword.keyword = 'Information Retrieval'
53,authors,,attr,,,author.name
53,papers,,rel,,,publication
53,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
54,organizations,,attr,,,organization.name
54,Databases area,,pred,,,domain.name = 'Databases'
55,organizations,,attr,,,organization.name
55,Databases area,,pred,,,domain.name = 'Databases'
55,North America,,pred,,,organization.continent = 'North America'
56,researchers,,attr,,,author.name
56,University of Michigan,,pred,,,organization.name = 'University of Michigan'
57,researchers,,attr,,,author.name
57,Databases area,,pred,,,domain.name = 'Databases'
57,University of Michigan,,pred,,,organization.name = 'University of Michigan'
58,papers,,attr,,,publication.title
58,University of Michigan,,pred,,,organization.name = 'University of Michigan'
59,papers,,attr,,,publication.title
59,2000,>,pred,,,publication.year > 2000
59,University of Michigan,,pred,,,organization.name = 'University of Michigan'
60,papers,,attr,,,publication.title
60,VLDB conference,,pred,,,conference.name = 'VLDB'
60,University of Michigan,,pred,,,organization.name = 'University of Michigan'
61,papers,,attr,,,publication.title
61,PVLDB,,pred,,,journal.name = 'PVLDB'
61,University of Michigan,,pred,,,organization.name = 'University of Michigan'
62,papers,,attr,,,publication.title
62,VLDB,,pred,,,conference.name = 'VLDB'
62,2000,>,pred,,,publication.year > 2000
62,University of Michigan,,pred,,,organization.name = 'University of Michigan'
63,papers,,attr,,,publication.title
63,PVLDB,,pred,,,journal.name = 'PVLDB'
63,2000,>,pred,,,publication.year > 2000
63,University of Michigan,,pred,,,organization.name = 'University of Michigan'
64,paper,,attr,,,publication.title
64,Databases area,,pred,,,domain.name = 'Databases'
64,200 citations,>,pred,,,publication.citation_num > 200
65,paper,,attr,,,publication.title
65,PVLDB,,pred,,,journal.name = 'PVLDB'
65,200 citations,>,pred,,,publication.citation_num > 200
66,paper,,attr,,,publication.title
66,VLDB conference,,pred,,,conference.name = 'VLDB'
66,200 citations,>,pred,,,publication.citation_num > 200
67,paper,,attr,,,publication.title
67,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
67,200 citations,>,pred,,,publication.citation_num > 200
68,papers,,attr,,,publication.title
68,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
68,PVLDB,,pred,,,journal.name = 'PVLDB'
68,200 citations,>,pred,,,publication.citation_num > 200
69,papers,,attr,,,publication.title
69,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
69,VLDB conference,,pred,,,conference.name = 'VLDB'
69,200 citations,>,pred,,,publication.citation_num > 200
70,paper,,attr,,,publication.title
70,2000,>,pred,,,publication.year > 2000
70,200 citations,>,pred,,,publication.citation_num > 200
71,paper,,attr,,,publication.title
71,2000,>,pred,,,publication.year > 2000
71,Databases area,,pred,,,domain.name = 'Databases'
71,200 citations,>,pred,,,publication.citation_num > 200
72,paper,,attr,,,publication.title
72,2000,>,pred,,,publication.year > 2000
72,PVLDB,,pred,,,journal.name = 'PVLDB'
72,200 citations,>,pred,,,publication.citation_num > 200
73,paper,,attr,,,publication.title
73,2000,>,pred,,,publication.year > 2000
73,VLDB conference,,pred,,,conference.name = 'VLDB'
73,200 citations,>,pred,,,publication.citation_num > 200
74,conferences,,attr,count,,conference.name
74,papers,,rel,,,publication
74,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
75,journals,,attr,count,,journal.name
75,papers,,rel,,,publication
75,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
76,papers,,attr,count,,publication.title
76,written,,rel,,,writes
76,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
76,year,,attr,,1,publication.year
77,authors,,attr,count,,author.name
77,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
78,citations,,attr,sum,,publication.citation_num
78,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
78,year,,attr,,1,publication.year
80,papers,,attr,count,,publication.title
80,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
81,papers,,attr,count,,publication.title
81,VLDB conference,,pred,,,conference.name = 'VLDB'
82,papers,,attr,count,,publication.title
82,PVLDB,,pred,,,journal.name = 'PVLDB'
83,papers,,attr,count,,publication.title
83,2000,>,pred,,,publication.year > 2000
84,papers,,attr,count,,publication.title
84,PVLDB,,pred,,,journal.name = 'PVLDB'
84,2000,>,pred,,,publication.year > 2000
85,papers,,attr,count,,publication.title
85,VLDB conference,,pred,,,conference.name = 'VLDB'
85,2000,>,pred,,,publication.year > 2000
86,papers,,attr,count,,publication.title
86,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
86,PVLDB,,pred,,,journal.name = 'PVLDB'
87,papers,,attr,count,,publication.title
87,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
87,VLDB conference,,pred,,,conference.name = 'VLDB'
88,papers,,attr,count,,publication.title
88,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
88,2000,>,pred,,,publication.year > 2000
89,papers,,attr,count,,publication.title
89,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
89,PVLDB,,pred,,,journal.name = 'PVLDB'
89,2000,>,pred,,,publication.year > 2000
90,papers,,attr,count,,publication.title
90,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
90,VLDB conference,,pred,,,conference.name = 'VLDB'
90,2000,>,pred,,,publication.year > 2000
91,keywords,,attr,count,,keyword.keyword
92,keywords,,attr,count,,keyword.keyword
92,Databases area,,pred,,,domain.name = 'Databases'
93,papers,,attr,count,,publication.title
93,keyword Natural Language,,pred,,,keyword.keyword = 'Natural Language'
94,keywords,,attr,count,,keyword.keyword
94,Making database systems usable,,pred,,,publication.title = 'Making database systems usable'
95,keywords,,attr,count,,keyword.keyword
95,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
96,keywords,,attr,count,,keyword.keyword
96,VLDB conference,,pred,,,conference.name = 'VLDB'
97,keywords,,attr,count,,keyword.keyword
97,PVLDB,,pred,,,journal.name = 'PVLDB'
98,keywords,,attr,count,,keyword.keyword
98,papers,,rel,,,publication
98,University of Michigan,,pred,,,organization.name = 'University of Michigan'
99,papers,,attr,count,,publication.title
99,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
99,keyword User Study,,pred,,,keyword.keyword = 'User Study'
100,papers,,attr,count,,publication.title
100,PVLDB,,pred,,,journal.name = 'PVLDB'
100,keyword Keyword search,,pred,,,keyword.keyword = 'Keyword search'
101,papers,,attr,count,,publication.title
101,VLDB conference,,pred,,,conference.name = 'VLDB'
101,keyword Information Retrieval,,pred,,,keyword.keyword = 'Information Retrieval'
102,authors,,attr,count,,author.name
102,papers,,rel,,,publication
102,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
103,citations,,attr,sum,,publication.citation_num
103,papers,,rel,,,publication
103,keyword Natural Language,,pred,,,keyword.keyword = 'Natural Language'
104,organizations,,attr,count,,organization.name
105,organizations,,attr,count,,organization.name
105,North America,,pred,,,organization.continent = 'North America'
106,organizations,,attr,count,,organization.name
106,Databases area,,pred,,,domain.name = 'Databases'
107,organizations,,attr,count,,organization.name
107,Databases area,,pred,,,domain.name = 'Databases'
107,North America,,pred,,,organization.continent = 'North America'
108,papers,,attr,count,,publication.title
108,University of Michigan,,pred,,,organization.name = 'University of Michigan'
109,papers,,attr,count,,publication.title
109,University of Michigan,,pred,,,organization.name = 'University of Michigan'
109,Databases area,,pred,,,domain.name = 'Databases'
110,papers,,attr,count,,publication.title
110,2000,>,pred,,,publication.year > 2000
110,University of Michigan,,pred,,,organization.name = 'University of Michigan'
111,papers,,attr,count,,publication.title
111,VLDB conference,,pred,,,conference.name = 'VLDB'
111,University of Michigan,,pred,,,organization.name = 'University of Michigan'
112,papers,,attr,count,,publication.title
112,PVLDB,,pred,,,journal.name = 'PVLDB'
112,University of Michigan,,pred,,,organization.name = 'University of Michigan'
113,papers,,attr,count,,publication.title
113,VLDB,,pred,,,conference.name = 'VLDB'
113,2000,>,pred,,,publication.year > 2000
113,University of Michigan,,pred,,,organization.name = 'University of Michigan'
114,papers,,attr,count,,publication.title
114,PVLDB,,pred,,,journal.name = 'PVLDB'
114,2000,>,pred,,,publication.year > 2000
114,University of Michigan,,pred,,,organization.name = 'University of Michigan'
115,citations,,attr,sum,,publication.citation_num
115,papers,,rel,,,publication
115,University of Michigan,,pred,,,organization.name = 'University of Michigan'
116,researchers,,attr,count,,author.name
116,University of Michigan,,pred,,,organization.name = 'University of Michigan'
117,researchers,,attr,count,,author.name
117,Databases area,,pred,,,domain.name = 'Databases'
117,University of Michigan,,pred,,,organization.name = 'University of Michigan'
118,authors,,attr,count,,author.name
118,papers,,rel,,,publication
118,PVLDB,,pred,,,journal.name = 'PVLDB'
119,authors,,attr,count,,author.name
119,papers,,rel,,,publication
119,VLDB conference,,pred,,,conference.name = 'VLDB'
120,papers,,attr,count,,publication.title
120,PVLDB,,pred,,,journal.name = 'PVLDB'
120,2000,<,pred,,,publication.year < 2000
121,papers,,attr,count,,publication.title
121,VLDB conference,,pred,,,conference.name = 'VLDB'
121,2000,<,pred,,,publication.year < 2000
122,citations,,attr,sum,,publication.citation_num
122,papers,,rel,,,publication
122,PVLDB,,pred,,,journal.name = 'PVLDB'
123,citations,,attr,,,publication.citation_num
123,paper,,attr,,1,publication.title
123,PVLDB,,pred,,,journal.name = 'PVLDB'
124,citations,,attr,sum,,publication.citation_num
124,papers,,rel,,,publication
124,PVLDB,,pred,,,journal.name = 'PVLDB'
124,2005,,pred,,,publication.year = 2005
125,citations,,attr,sum,,publication.citation_num
125,papers,,rel,,,publication
125,PVLDB,,pred,,,journal.name = 'PVLDB'
125,2005,<,pred,,,publication.year < 2005
126,citations,,attr,sum,,publication.citation_num
