what are the major rivers in the us ? ||| select river.river_name from river ;

what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what cities in state0 have highest populations ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what cities in state0 have the highest number of citizens ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
which city in state0 has the largest population ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the most populous city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the most populous city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the city in state0 with the largest population ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city of state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what state0 city has the largest population ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
what is the largest city in state0 by population ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

give me the cities in usa ? ||| select city.city_name from city ;

what is the area of the state with the capital city0 ? ||| select state.area from state where state.capital = ' city0 ' ;

how many rivers are in the state with the largest population ? ||| select count ( river.river_name ) from river , state where river.traverse = state.state_name and state.state_name = ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ;

which state is traversed by the most rivers ? ||| select river.traverse from river , state where river.traverse = state.state_name group by state_name order by count ( river.river_name ) desc limit 1 ;

what are the cities of the state with the lowest point ? ||| select city.city_name from city , highlow where city.state_name = highlow.state_name and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the area of the largest state ? ||| select state.area from state where state.area = ( select max ( state.area ) from state ) ;
what is the area of the largest state in the us ? ||| select state.area from state where state.area = ( select max ( state.area ) from state ) ;

